x,y,water
554,850,True
555,850,True
556,851,True
557,851,True
558,851,True
559,851,True
560,852,True
561,852,True
562,852,True
563,852,True
564,853,True
565,853,True
566,853,True
567,853,True
568,854,True
569,854,True
570,854,True
571,854,True
572,855,True
573,855,True
574,855,True
575,855,True
576,856,True
577,856,True
578,856,True
579,856,True
580,857,True
581,857,True
582,857,True
583,857,True
584,858,True
585,858,True
586,858,True
587,858,True
588,859,True
589,859,True
590,859,True
591,859,True
592,860,True
593,860,True
594,860,True
595,860,True
596,861,True
597,861,True
598,861,True
599,861,True
600,862,True
601,862,True
602,862,True
603,862,True
604,863,True
605,863,True
606,863,True
607,863,True
608,864,True
609,864,True
610,864,True
611,864,True
612,865,True
613,865,True
614,865,True
615,865,True
616,865,True
617,864,True
618,864,True
619,864,True
620,864,True
621,864,True
622,863,True
623,863,True
624,863,True
625,863,True
626,862,True
627,862,True
628,862,True
629,862,True
630,862,True
631,861,True
632,861,True
633,861,True
634,861,True
635,861,True
636,860,True
637,860,True
638,860,True
639,860,True
640,860,True
641,859,True
642,859,True
643,859,True
644,859,True
645,858,True
646,858,True
647,858,True
648,858,True
649,858,True
650,857,True
651,857,True
652,857,True
653,857,True
654,857,True
655,856,True
656,856,True
657,856,True
658,856,True
659,855,True
660,855,True
661,855,True
662,855,True
663,855,True
664,854,True
665,854,True
666,854,True
667,854,True
668,854,True
669,853,True
670,853,True
671,853,True
672,853,True
673,853,True
674,852,True
675,852,True
676,852,True
677,852,True
678,851,True
679,851,True
680,851,True
681,851,True
682,851,True
683,850,True
684,850,True
685,850,True
686,849,True
687,848,True
688,847,True
689,846,True
690,845,True
691,844,True
692,843,True
693,842,True
694,841,True
695,840,True
696,840,True
697,839,True
698,838,True
699,837,True
700,836,True
701,835,True
702,834,True
703,833,True
704,832,True
705,831,True
706,830,True
707,829,True
708,828,True
709,827,True
710,826,True
711,825,True
712,824,True
713,823,True
714,822,True
715,821,True
716,821,True
717,820,True
718,819,True
719,818,True
720,817,True
721,816,True
722,815,True
723,814,True
724,813,True
725,812,True
726,811,True
727,810,True
728,810,True
729,809,True
730,809,True
731,808,True
732,808,True
733,807,True
734,807,True
735,806,True
736,806,True
737,805,True
738,805,True
739,804,True
740,803,True
741,803,True
742,802,True
743,802,True
744,801,True
745,801,True
746,800,True
747,800,True
748,799,True
749,799,True
750,798,True
751,797,True
752,797,True
753,796,True
754,796,True
755,795,True
756,795,True
757,794,True
758,794,True
759,793,True
760,793,True
761,792,True
762,792,True
763,791,True
764,790,True
765,789,True
766,789,True
767,788,True
768,787,True
769,786,True
770,785,True
771,784,True
772,784,True
773,783,True
774,782,True
775,781,True
776,780,True
777,780,True
778,779,True
779,778,True
780,777,True
781,776,True
782,775,True
783,775,True
784,774,True
785,773,True
786,772,True
787,771,True
788,771,True
789,770,True
790,769,True
791,768,True
792,767,True
793,767,True
794,766,True
795,765,True
796,764,True
797,763,True
798,762,True
799,762,True
800,761,True
801,760,True
802,759,True
803,758,True
804,758,True
805,757,True
806,756,True
807,755,True
808,754,True
809,753,True
810,753,True
811,752,True
812,751,True
813,750,True
814,749,True
815,749,True
816,748,True
817,747,True
818,746,True
819,745,True
820,744,True
821,744,True
822,743,True
823,742,True
824,741,True
825,740,True
826,740,True
827,739,True
828,738,True
829,737,True
830,736,True
831,735,True
832,735,True
833,734,True
834,733,True
835,732,True
836,731,True
837,731,True
838,730,True
839,729,True
840,728,True
841,727,True
842,726,True
843,726,True
844,725,True
845,724,True
846,723,True
847,722,True
848,722,True
849,721,True
850,720,True
851,719,True
852,718,True
853,718,True
854,717,True
855,716,True
856,715,True
857,714,True
858,713,True
859,713,True
860,712,True
861,711,True
862,710,True
863,709,True
864,709,True
865,708,True
866,707,True
867,706,True
868,705,True
869,704,True
870,704,True
871,703,True
872,702,True
873,701,True
874,700,True
875,700,True
876,699,True
877,698,True
878,697,True
879,696,True
880,695,True
881,695,True
882,694,True
883,693,True
884,692,True
885,691,True
886,691,True
887,690,True
888,689,True
889,688,True
890,687,True
891,686,True
892,686,True
893,685,True
894,684,True
895,683,True
896,682,True
897,682,True
898,681,True
899,680,True
900,679,True
901,678,True
902,677,True
903,677,True
904,676,True
905,675,True
906,674,True
907,673,True
908,673,True
909,672,True
910,671,True
911,670,True
912,669,True
913,669,True
914,668,True
915,667,True
916,666,True
917,665,True
918,664,True
919,664,True
920,663,True
921,662,True
922,661,True
923,660,True
924,660,True
925,659,True
926,658,True
927,657,True
928,656,True
929,655,True
930,655,True
931,654,True
932,653,True
933,652,True
934,651,True
935,650,True
936,649,True
937,648,True
938,647,True
938,646,True
939,645,True
940,644,True
941,643,True
942,642,True
943,641,True
943,640,True
944,639,True
944,638,True
945,637,True
945,636,True
946,635,True
946,634,True
947,633,True
947,632,True
948,631,True
948,630,True
949,629,True
949,628,True
949,627,True
950,626,True
950,625,True
951,624,True
951,623,True
952,622,True
952,621,True
953,620,True
953,619,True
954,618,True
954,617,True
955,616,True
955,615,True
955,614,True
956,613,True
956,612,True
957,611,True
957,610,True
958,609,True
958,608,True
959,607,True
959,606,True
960,605,True
960,604,True
961,603,True
961,602,True
961,601,True
962,600,True
962,599,True
963,598,True
963,597,True
964,596,True
964,595,True
965,594,True
965,593,True
966,592,True
966,591,True
967,590,True
967,589,True
968,588,True
968,587,True
968,586,True
969,585,True
969,584,True
970,583,True
970,582,True
971,581,True
971,580,True
972,579,True
972,578,True
973,577,True
973,576,True
974,575,True
974,574,True
974,573,True
975,572,True
975,571,True
976,570,True
976,569,True
977,568,True
977,567,True
978,566,True
978,565,True
979,564,True
979,563,True
980,562,True
980,561,True
980,560,True
981,559,True
981,558,True
982,557,True
982,556,True
983,555,True
983,554,True
984,553,True
984,552,True
985,551,True
985,550,True
986,549,True
986,548,True
986,547,True
987,546,True
987,545,True
988,544,True
988,543,True
989,542,True
989,541,True
990,540,True
990,539,True
991,538,True
991,537,True
992,536,True
992,535,True
992,534,True
993,533,True
993,532,True
994,531,True
994,530,True
995,529,True
995,528,True
996,527,True
996,526,True
997,525,True
997,524,True
998,523,True
998,522,True
998,521,True
999,520,True
999,519,True
1000,518,True
1000,517,True
1001,516,True
1001,515,True
1002,514,True
1002,513,True
1003,512,True
1003,511,True
1004,510,True
1004,509,True
1004,508,True
1005,507,True
1005,506,True
1006,505,True
1006,504,True
1007,503,True
1007,502,True
1008,501,True
1008,500,True
1009,499,True
1009,498,True
1010,497,True
1010,496,True
1010,495,True
1011,494,True
1011,493,True
1012,492,True
1012,491,True
1013,490,True
1013,489,True
1014,488,True
1014,487,True
1015,486,True
1015,485,True
1016,484,True
1016,483,True
1017,482,True
1017,481,True
1017,480,True
1018,479,True
1018,478,True
1019,477,True
1019,476,True
1020,475,True
1020,474,True
1021,473,True
1021,472,True
1022,471,True
1022,470,True
1023,469,True
1023,468,True
1023,467,True
1024,466,True
1024,465,True
1025,464,True
1025,463,True
1026,462,True
1026,461,True
1027,460,True
1027,459,True
1028,458,True
1028,457,True
1029,456,True
1029,455,True
1029,454,True
1030,453,True
1030,452,True
1031,451,True
1031,450,True
1032,449,True
1032,448,True
1033,447,True
1033,446,True
1034,445,True
1034,444,True
1035,443,True
1035,442,True
1035,441,True
1036,440,True
1036,439,True
1037,438,True
1037,437,True
1038,436,True
1038,435,True
1039,434,True
1039,433,True
1040,432,True
1040,431,True
1041,430,True
1041,429,True
1041,428,True
1042,427,True
1042,426,True
1043,425,True
1043,424,True
1044,423,True
1044,422,True
1045,421,True
1045,420,True
1046,419,True
1046,418,True
1047,417,True
1047,416,True
1047,415,True
1048,414,True
1048,413,True
1049,412,True
1049,411,True
1050,410,True
1050,409,True
1051,408,True
1051,407,True
1052,406,True
1052,405,True
1053,404,True
1053,403,True
1053,402,True
1054,401,True
1054,400,True
1055,399,True
1055,398,True
1056,397,True
1056,396,True
1057,395,True
1057,394,True
1058,393,True
1058,392,True
1059,391,True
1059,390,True
1059,389,True
1060,388,True
1060,387,True
1061,386,True
1061,385,True
1062,384,True
1062,383,True
1063,382,True
1063,381,True
1064,380,True
1064,379,True
1065,378,True
1065,377,True
1066,376,True
1066,375,True
1066,374,True
1067,373,True
1067,372,True
1068,371,True
1068,370,True
1069,369,True
1069,368,True
1070,367,True
1070,366,True
1071,365,True
1071,364,True
1072,363,True
1072,362,True
1072,361,True
1073,360,True
1073,359,True
1074,358,True
1074,357,True
1075,356,True
1075,355,True
1076,354,True
1076,353,True
1077,352,True
1077,351,True
1078,350,True
1078,349,True
1078,348,True
1079,347,True
1079,346,True
1080,345,True
1080,344,True
1081,343,True
1081,342,True
1082,341,True
1082,340,True
1083,339,True
1083,338,True
1084,337,True
1084,336,True
1084,335,True
1085,334,True
1085,333,True
1086,332,True
1086,331,True
1087,330,True
1087,329,True
1088,328,True
1088,327,True
1089,326,True
1089,325,True
1090,324,True
1090,323,True
1090,322,True
1090,321,True
1090,320,True
1090,319,True
1090,318,True
1090,317,True
1091,316,True
1091,315,True
1091,314,True
1091,313,True
1091,312,True
1091,311,True
1091,310,True
1091,309,True
1091,308,True
1091,307,True
1091,306,True
1091,305,True
1091,304,True
1091,303,True
1092,302,True
1092,301,True
1092,300,True
1092,299,True
1092,298,True
1092,297,True
1092,296,True
1093,295,True
1094,294,True
1095,293,True
1096,292,True
1097,291,True
1097,290,True
1098,289,True
1099,288,True
1100,287,True
1101,286,True
1102,285,True
1103,284,True
1104,283,True
1105,282,True
1106,281,True
1107,280,True
1108,279,True
1108,278,True
1109,277,True
1110,276,True
1111,275,True
1112,274,True
1113,273,True
1114,272,True
1115,271,True
1116,270,True
1117,269,True
1118,268,True
1118,267,True
1119,266,True
1120,265,True
1121,264,True
1122,263,True
1123,262,True
1124,261,True
1125,260,True
1126,259,True
1127,258,True
1128,257,True
1128,256,True
1129,255,True
1130,254,True
1131,253,True
1132,252,True
1133,251,True
1134,250,True
1135,249,True
1136,248,True
1137,247,True
1138,246,True
1139,245,True
1139,244,True
1140,243,True
1141,242,True
1142,241,True
1143,240,True
1144,239,False
1143,238,False
1142,238,False
1141,237,False
1140,237,False
1139,236,False
1138,236,False
1137,235,False
1136,235,False
1135,234,False
1134,234,False
1133,233,False
1132,233,False
1131,232,False
1130,232,False
1129,231,False
1128,231,False
1127,230,False
1126,230,False
1125,229,False
1124,229,False
1123,228,False
1122,228,False
1121,227,False
