x,y
816,146
816,151
817,145
817,150
818,144
818,148
819,143
819,147
820,142
820,146
821,141
821,145
822,140
822,144
823,139
823,143
824,138
824,142
825,136
825,141
826,135
826,140
827,134
827,139
828,133
828,137
829,132
829,136
830,131
830,135
831,130
831,134
832,129
832,133
833,128
833,132
834,127
834,131
835,126
835,130
836,124
836,129
837,123
837,128
838,122
838,127
839,121
839,125
840,120
840,124
841,120
841,121
841,123
842,120
842,121
842,122
